gene_symbol,Atg4c
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
gene_accession_id,MGI:2651854
mouse_strain,C57BL
pvalue,0.1067573
mouse_life_stage,Early adult
analysis_id,j341gz10jgzdr70
