parameter_id,JAX_SLW_013_001
analysis_id,7334lbo98qo60rf
pvalue,0.9196973
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_name,Breath rate during sleep mean
