analysis_id,m30h96h3e8xv565
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_id,MGP_BMI_019_001
gene_symbol,Eprs1
parameter_name,T cells - % of CD45+
pvalue,0.6526627
mouse_life_stage,E12.5
