parameter_name,Eosinophils
gene_symbol,Cldn19
analysis_id,9gt0zo7747ivx1o
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
pvalue,0.6361614
