analysis_id,4j1k88x203ghq19
gene_symbol,F2
pvalue,1.134176
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
mouse_strain,C57BL
