parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
gene_symbol,Dcaf12
mouse_strain,C57BL
gene_accession_id,MGI:1916220
analysis_id,3f5kz51ngk99v13
pvalue,0.2348977
