mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
pvalue,0.3807427
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
gene_symbol,Wars2
parameter_name,Retina (combined)
analysis_id,2ec22254g63fkv9
