gene_symbol,Gfi1b
analysis_id,srdp1h65c79d783
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1276578
pvalue,0.5488623
mouse_life_stage,Early adult
parameter_name,Total holepokes
mouse_strain,C57BL
