gene_symbol,Pum1
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
analysis_id,152088avg6y4060
mouse_strain,C57BL
gene_accession_id,MGI:1931749
pvalue,0.6313173
mouse_life_stage,Early adult
