parameter_name,CV
gene_accession_id,MGI:109356
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
pvalue,0.1878654
gene_symbol,Snap23
mouse_life_stage,Early adult
analysis_id,6617ds0olh6rz90
