parameter_id,IMPC_XRY_027_001
pvalue,0.7470474
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
analysis_id,o156506ww2v79b4
mouse_strain,C57BL
parameter_name,Joints
gene_symbol,Sgip1
