parameter_name,Hindlimbs - shape
gene_symbol,Dnajc6
analysis_id,jv0f6j9118iwtsf
gene_accession_id,MGI:1919935
pvalue,0.4846664
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
