parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
gene_symbol,Ddx27
pvalue,0.6507404
gene_accession_id,MGI:2385884
parameter_id,IMPC_HEM_030_001
analysis_id,659x9x906lpq0k8
mouse_strain,C57BL
