parameter_name,Retinal Blood Vessels
analysis_id,v6cujb43h2310da
gene_symbol,Dnajc5b
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
pvalue,1.050232
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
