parameter_id,HMGULA_HWT_008_001
pvalue,0.792229
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
parameter_name,Heart weight
gene_symbol,Mapkap1
analysis_id,6pqjw928172045f
