gene_symbol,Slc30a4
analysis_id,195ok961w4m9187
mouse_strain,C57BL
gene_accession_id,MGI:1345282
pvalue,0.1450595
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
