analysis_id,fci4pxxn397425f
gene_accession_id,MGI:1919137
pvalue,0.61872
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
gene_symbol,Ppm1j
mouse_strain,C57BL
parameter_name,Fat mass
