gene_symbol,Psd4
analysis_id,696bb6h9gxlys81
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:2674093
pvalue,0.4737496
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
