analysis_id,79wfg6ozbi1l40x
mouse_life_stage,Early adult
pvalue,0.07379245
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:99605
mouse_strain,129SV
gene_symbol,Cntfr
