parameter_name,Limb morphology
mouse_strain,C57BL
pvalue,0.1048984
analysis_id,k4s69e8o97jic42
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_084_001
