Analysis_id,53merw9wx13jwzu
Parameter_name,End-Systolic Diameter
pvalue,0.6770502
Mouse_life_stage,Early adult
Parameter_id,IMPC_ECH_001_001
gene_symbol,Trpa1
Gene_accession_id,MGI:3522699
Mouse_strain,C57BL
