parameter_name,Limb grasp
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.901323
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,952gji18j22m6v4
parameter_id,JAXLA_CSD_039_001
