parameter_id,JAX_URI_002_001
parameter_name,Creatinine
analysis_id,6xs0x2bc9h3lzy2
mouse_life_stage,Early adult
gene_symbol,Steap3
mouse_strain,C57BL
gene_accession_id,MGI:1915678
pvalue,0.6613533
