gene_symbol,Bdh2
analysis_id,qp70g22q4n3od2w
mouse_strain,C57BL
gene_accession_id,MGI:1917022
pvalue,0.308025
parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
