gene_symbol,Duoxa2
parameter_name,Distance travelled - total
analysis_id,3vp68o4e27a4c59
mouse_life_stage,Early adult
pvalue,0.7038698
gene_accession_id,MGI:1914061
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
