analysis_id,770a0b34p6jc5t7
pvalue,0.4303975
parameter_name,Effector NK cells - % of CD45+
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,MGP_IMM_099_001
gene_accession_id,MGI:1336200
