parameter_name,Creatinine
gene_accession_id,MGI:1341628
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
pvalue,0.2015724
gene_symbol,Atrn
mouse_life_stage,Early adult
analysis_id,5k2n602424e1sx0
