gene_symbol,Tnfsf8
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
pvalue,0.3210122
analysis_id,w7msdtm4qsu456c
