gene_symbol,Opn3
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:1338022
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
analysis_id,83q5q5o1w5fad71
pvalue,0.1943539
