mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
pvalue,0.2227522
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
gene_symbol,Eprs1
analysis_id,7z2m05wf90lkolq
