analysis_id,p3yo31h486ef758
gene_accession_id,MGI:1328306
gene_symbol,Orc2
pvalue,0.4495264
parameter_name,Global prepulse inhibition
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
