analysis_id,2qhzt9798n2364f
parameter_name,Platelet count
gene_accession_id,MGI:1336200
pvalue,0.2663196
gene_symbol,Hpca
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
