parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.08672389
parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
analysis_id,x3nnf7502j5n815
