analysis_id,083b26o4x17xy6g
pvalue,0.5827282
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
gene_symbol,Slx4ip
