gene_symbol,Ufc1
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:1913405
mouse_strain,C57BL
pvalue,0.2948442
parameter_id,MGP_PBI_031_001
analysis_id,3hwfoyp816949r9
