gene_symbol,Zyg11b
parameter_id,IMPC_CBC_013_001
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
pvalue,0.4835538
mouse_strain,C57BL
analysis_id,1ox243e37m68035
