analysis_id,5ebgth8hqz533jg
pvalue,0.4922025
mouse_strain,C57BL
gene_symbol,Nanp
parameter_id,IMPC_CBC_004_001
mouse_life_stage,E18.5
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:1914561
