parameter_name,Potassium
gene_accession_id,MGI:1913483
pvalue,0.1158119
mouse_strain,C57BL
parameter_id,GMC_906_001_005
analysis_id,pol3e577yi9q1qr
gene_symbol,Dmap1
mouse_life_stage,E12.5
