analysis_id,h743ufll0tzfzu6
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
parameter_name,HR
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.7802117
parameter_id,JAXLA_ECG_002_001
