parameter_id,IMPC_FEA_106_001
gene_symbol,Slc30a4
analysis_id,373s7f39mi9e5nt
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,1.303758
