parameter_name,Calcium
analysis_id,28sxr768m26v4if
pvalue,0.7048654
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1914071
