parameter_name,White blood cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,v88dm4pexclm0ua
pvalue,0.7126645
parameter_id,HMGULA_HEM_001_001
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
