parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
pvalue,0.968669
gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_strain,C57BL
analysis_id,o3djpw559uw3a01
