analysis_id,u44fbi84z7j03e7
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1917810
pvalue,0.8227321
gene_symbol,Wars2
