parameter_name,Percent time in dark
analysis_id,673rvx553e6pg3h
mouse_life_stage,E15.5
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.2627443
mouse_strain,C57BL
