parameter_name,Tremor
analysis_id,g817g3sfhi72g18
gene_accession_id,MGI:3046938
pvalue,0.5736415
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
gene_symbol,Hrnr
mouse_life_stage,Early adult
