analysis_id,36wf4c53384hd9b
pvalue,0.1892522
mouse_life_stage,Early adult
gene_symbol,Mecom
parameter_name,Body Weight
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_id,M-G-P_020_001_001
