parameter_name,Tibia
mouse_strain,B6J
analysis_id,d49hjp35598xsh1
parameter_id,IMPC_XRY_025_001
gene_symbol,Nr0b2
pvalue,0.8353057
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
