gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_id,IMPC_ECG_005_001
analysis_id,l5vxv0o83s48x76
mouse_strain,C57BL
pvalue,0.1293561
parameter_name,PQ
mouse_life_stage,Early adult
