analysis_id,w5xbz5k53y2u66b
gene_symbol,Frmpd1
pvalue,0.2652649
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
