analysis_id,214jn4k5z07031l
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
parameter_id,IMPC_FEA_107_001
mouse_strain,C57BL
pvalue,0.3499095
gene_symbol,Kdm5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
