analysis_id,1jlu648x1j556o8
gene_accession_id,MGI:103302
mouse_strain,C57BL
pvalue,0.8575905
gene_symbol,Bmp7
parameter_name,Weight
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
