parameter_id,IMPC_OFD_010_001
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
analysis_id,22xvz7xxu55l513
parameter_name,Periphery distance travelled
pvalue,0.6373169
mouse_strain,C57BL
