gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
analysis_id,38nfqy2aufag535
pvalue,0.7050717
mouse_strain,C57BL
