analysis_id,wae481i4b54pol1
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Dnajc5b
pvalue,0.3272742
gene_accession_id,MGI:1913576
