analysis_id,6f1429m9s1bb63u
pvalue,0.6710214
gene_symbol,Bcs1l
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
