parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
pvalue,0.2593203
analysis_id,pg8x65nm8631m03
gene_accession_id,MGI:3616086
parameter_id,MGP_CSD_015_001
mouse_strain,C57BL
gene_symbol,Kcng1
