gene_symbol,Smyd2
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3243414
analysis_id,n9q5yapq94q9vh7
parameter_id,MGP_IMM_079_001
gene_accession_id,MGI:1915889
parameter_name,KLRG1+ Treg cells - % of CD45+
