analysis_id,9sx19msmd8llr9g
parameter_id,JAX_URI_002_001
gene_symbol,Car13
pvalue,0.9357577
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
parameter_name,Creatinine
