gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_name,Forebrain
analysis_id,0cuo7e6nzj529gr
pvalue,0.6331461
parameter_id,IMPC_GEL_028_001
mouse_strain,C57BL
mouse_life_stage,E9.5
