analysis_id,z1743h1xnq62os5
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
pvalue,0.3717155
