gene_symbol,Frmpd1
analysis_id,i3y4amb79kq532a
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
pvalue,0.06872976
parameter_name,Startle response
