analysis_id,krq4pz5oh45800t
parameter_name,Head morphology
gene_symbol,Zmynd8
mouse_strain,129SV
pvalue,0.2889816
parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
