parameter_name,Percentage center time
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6xdo477h54kyafk
gene_accession_id,MGI:1338032
parameter_id,JAX_OFD_022_001
pvalue,0.4266224
gene_symbol,Sema6c
